"team","id","name","photo_url","position","evaluation"
"sao-paulo","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2018/03/11/850c8b93c9700970ec1d30ac9c8107da_80x80.png","ZAD","3"
"sao-paulo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_80x80.png","ZAE","3"
"sao-paulo","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2018/03/11/d003cdfe10ec42f489d233308e6e8f67_80x80.png","LAE","3"
"sao-paulo","liziero","Liziero","https://s.glbimg.com/es/sde/f/2018/03/21/c9490fb8f5f9e2b6b63777b7c80b170e_80x80.png","LAE","3"
"sao-paulo","marcos-guilherme","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2017/07/26/d3484768bc48ad214ba1ea35149b30ba_80x80.png","ATA","3"
"sao-paulo","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2018/03/11/d5b5b6a89764a87e0a097fe2b1db36a8_80x80.png","ATA","3"
"sao-paulo","jean","Jean","https://s.glbimg.com/es/sde/f/2018/03/11/1a43920af3ea4ad2f189d77f6480d4ec_80x80.png","GOL","4"
"sao-paulo","sidao","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_80x80.png","GOL","4"
"sao-paulo","eder-militao","Éder Militão","https://s.glbimg.com/es/sde/f/2017/05/04/a8a8f4eb8075ba4ad4fde3d5d0d6f996_80x80.png","LAD","4"
"sao-paulo","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2017/08/23/21ca677e7d6a57d1dfb2b66e74d782f4_80x80.png","ZAD","4"
